"frame_path","label","video_dir","frame_idx","img_key"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000000.jpg","0","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","0","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000000.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000001.jpg","0","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","1","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000001.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000002.jpg","0","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","2","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000002.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000003.jpg","0","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","3","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000003.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000004.jpg","0","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","4","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000004.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000005.jpg","0","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","5","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000005.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000006.jpg","0","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","6","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000006.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000007.jpg","0","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","7","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000007.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000008.jpg","0","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","8","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000008.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000009.jpg","0","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","9","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000009.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000010.jpg","0","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","10","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000010.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000011.jpg","0","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","11","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000011.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000012.jpg","0","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","12","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000012.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000013.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","13","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000013.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000014.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","14","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000014.jpg"
"preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000015.jpg","1","preprocess\data\extracted\frames\YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p","15","YTDown.com_Shorts_2-Minute-Pull-Up-Challenge-Strict-Form-O_Media_i6NCYnhDzl4_001_1080p_frame000015.jpg"
